Model,Scenario,Region,Variable,Unit,Year,Value
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2015,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2016,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2017,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2018,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2019,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2020,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2021,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2022,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2023,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2024,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2025,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2026,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2027,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2028,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2029,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2030,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2031,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2032,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2033,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2034,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2035,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2036,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2037,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2038,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2039,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,2040,19.4444
