Model,Scenario,Region,Variable,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Electricity,EUR/GJ,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444,19.4444
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Oil,EUR/GJ,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.44,11.84,11.68,11.76,12.16,12.48,12.64,12.4,12.24,12.08,12.0,11.92,11.84,11.76,11.68,11.6,11.52,11.52,11.44,11.44,11.44,11.44,11.44,11.44,11.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Coal,EUR/GJ,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.722222222,9.916666667,10.11111111,10.30555556,10.5,10.69444444,10.78755556,10.88066667,10.97377778,11.06688889,11.16,11.088,11.016,10.944,10.872,10.8,10.728,10.656,10.584,10.512,10.44,10.44,10.44,10.44,10.44,10.44
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Gases|Gas,EUR/GJ,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055,12.8055
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Solids|Biomass,EUR/GJ,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.6488,10.81584,10.949472,11.0563776,11.14190208,11.21032166,11.26505733,11.30884586,11.34387669,11.37190135,11.39432108,11.41225687,11.42660549,11.43808439,11.44726752,11.45461401,11.46049121,11.46519297,11.46895437,11.484,11.484,11.484,11.484,11.484,11.484
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Heat|Solar,EUR/GJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Hydrogen,EUR/GJ,45.38517884,45.38517884,45.38517884,45.38517884,45.38517884,45.38517884,45.38517884,45.38517884,45.38517884,45.38517884,45.38517884,42.7894343,40.19368975,37.59794521,35.00220066,32.40645611,31.25526383,30.10407154,28.95287925,27.80168696,26.65049467,26.28182395,25.91315322,25.5444825,25.17581177,24.80714105,24.72922374,24.65130644,24.57338914,24.49547184,24.41755454,24.41755454,24.41755454,24.41755454,24.41755454,24.41755454
FORECAST-Sites,Scenario 6,Spain,Price|Secondary Energy|Liquids|Biomass,EUR/GJ,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
FORECAST-Sites,Scenario 6,Spain,Subsidies|Secondary Energy|Electricity,EUR/GJ,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0
FORECAST-Sites,Scenario 6,Spain,Subsidies|Secondary Energy|Liquids|Oil,EUR/GJ,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0
